measure label,year,state,county,fips,value,numerator,denominator
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Nevada,Washoe County,32031,0.082586862,15609,189001
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Hampshire,Cheshire County,33005,0.138022617,4833,35016
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Hampshire,Grafton County,33009,0.313656271,16259,51837
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Hampshire,Hillsborough County,33011,0.067279831,11309,168089
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Hampshire,Merrimack County,33013,0.132349491,8448,63831
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Hampshire,Rockingham County,33015,0.075702876,9793,129361
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Hampshire,Strafford County,33017,,,52693
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Atlantic County,34001,0.194574565,24882,127879
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Bergen County,34003,0.049605928,17617,355139
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Burlington County,34005,0.080539323,14336,178000
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Camden County,34007,0.10041555,20709,206233
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Cape May County,34009,0.578001082,57225,99005
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Cumberland County,34011,0.105291173,5934,56358
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Essex County,34013,0.109601274,34497,314750
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Gloucester County,34015,0.072593488,8159,112393
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Hudson County,34017,0.076357394,21213,277812
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Hunterdon County,34019,,,49955
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Mercer County,34021,0.113555044,16407,144485
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Middlesex County,34023,0.06143314,18405,299594
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Monmouth County,34025,0.094405852,24610,260683
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Morris County,34027,0.056541644,10818,191328
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Ocean County,34029,0.19533813,54790,280488
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Passaic County,34031,0.109024599,19281,176850
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Salem County,34033,0.174525052,4823,27635
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Somerset County,34035,0.069103561,8700,125898
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Sussex County,34037,0.139749408,8711,62333
