measure label,year,state,county,fips,value,numerator,denominator
Senior Unemployment Rate (1y Avg.),2012, Alabama,Baldwin County,1003,0.065221794,322,4937
Senior Unemployment Rate (1y Avg.),2012, Alabama,Calhoun County,1015,0,0,1997
Senior Unemployment Rate (1y Avg.),2012, Alabama,Cullman County,1043,0.010207553,30,2939
Senior Unemployment Rate (1y Avg.),2012, Alabama,Elmore County,1051,0.119395465,237,1985
Senior Unemployment Rate (1y Avg.),2012, Alabama,Etowah County,1055,0.066751428,105,1573
Senior Unemployment Rate (1y Avg.),2012, Alabama,Houston County,1069,0.037079509,97,2616
Senior Unemployment Rate (1y Avg.),2012, Alabama,Jefferson County,1073,0.051963963,721,13875
Senior Unemployment Rate (1y Avg.),2012, Alabama,Lauderdale County,1077,0.063977748,138,2157
Senior Unemployment Rate (1y Avg.),2012, Alabama,Lee County,1081,0.066248879,222,3351
Senior Unemployment Rate (1y Avg.),2012, Alabama,Limestone County,1083,0.064391851,117,1817
Senior Unemployment Rate (1y Avg.),2012, Alabama,Madison County,1089,0.041059949,313,7623
Senior Unemployment Rate (1y Avg.),2012, Alabama,Marshall County,1095,0.057828695,106,1833
Senior Unemployment Rate (1y Avg.),2012, Alabama,Mobile County,1097,0.0751938,582,7740
Senior Unemployment Rate (1y Avg.),2012, Alabama,Montgomery County,1101,0.051540717,281,5452
Senior Unemployment Rate (1y Avg.),2012, Alabama,Morgan County,1103,0.031888798,117,3669
Senior Unemployment Rate (1y Avg.),2012, Alabama,Shelby County,1117,0.021186441,105,4956
Senior Unemployment Rate (1y Avg.),2012, Alabama,St. Clair County,1115,0.048402712,100,2066
Senior Unemployment Rate (1y Avg.),2012, Alabama,Talladega County,1121,0.026266417,42,1599
Senior Unemployment Rate (1y Avg.),2012, Alabama,Tuscaloosa County,1125,0.021239454,73,3437
Senior Unemployment Rate (1y Avg.),2012, Alabama,Walker County,1127,0.056580566,92,1626
Senior Unemployment Rate (1y Avg.),2012, Alaska,Anchorage Municipality,2020,0.035763174,209,5844
Senior Unemployment Rate (1y Avg.),2012, Alaska,Fairbanks North Star Borough,2090,0,0,1252
Senior Unemployment Rate (1y Avg.),2012, Alaska,Matanuska-Susitna Borough,2170,0.119791664,115,960
Senior Unemployment Rate (1y Avg.),2012, Arizona,Apache County,4001,0.05592417,59,1055
Senior Unemployment Rate (1y Avg.),2012, Arizona,Cochise County,4003,0.07326328,251,3426
Senior Unemployment Rate (1y Avg.),2012, Arizona,Coconino County,4005,0,0,2753
Senior Unemployment Rate (1y Avg.),2012, Arizona,Maricopa County,4013,0.076674126,6065,79101
Senior Unemployment Rate (1y Avg.),2012, Arizona,Mohave County,4015,0.119984567,622,5184
Senior Unemployment Rate (1y Avg.),2012, Arizona,Navajo County,4017,0.032621589,55,1686
Senior Unemployment Rate (1y Avg.),2012, Arizona,Pima County,4019,0.078757189,1602,20341
Senior Unemployment Rate (1y Avg.),2012, Arizona,Pinal County,4021,0.066299126,469,7074
Senior Unemployment Rate (1y Avg.),2012, Arizona,Yavapai County,4025,0.044490583,300,6743
Senior Unemployment Rate (1y Avg.),2012, Arizona,Yuma County,4027,0.060753882,137,2255
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Benton County,5007,0.029480672,151,5122
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Craighead County,5031,0,0,1498
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Faulkner County,5045,0.052572288,140,2663
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Garland County,5051,0.009149441,27,2951
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Jefferson County,5069,0,0,1782
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Lonoke County,5085,0.062578224,100,1598
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Pulaski County,5119,0.025625,205,8000
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Saline County,5125,0.057316545,132,2303
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Sebastian County,5131,0.020680146,45,2176
Senior Unemployment Rate (1y Avg.),2012, Arkansas,Washington County,5143,0.01190236,59,4957
Senior Unemployment Rate (1y Avg.),2012, Arkansas,White County,5145,0.036339756,83,2284
Senior Unemployment Rate (1y Avg.),2012, California,Alameda County,6001,0.077697001,2533,32601
Senior Unemployment Rate (1y Avg.),2012, California,Butte County,6007,0.115907468,486,4193
Senior Unemployment Rate (1y Avg.),2012, California,Contra Costa County,6013,0.06583643,1771,26900
Senior Unemployment Rate (1y Avg.),2012, California,El Dorado County,6017,0.094180964,560,5946
Senior Unemployment Rate (1y Avg.),2012, California,Fresno County,6019,0.119054884,1950,16379
Senior Unemployment Rate (1y Avg.),2012, California,Humboldt County,6023,0.023889355,57,2386
Senior Unemployment Rate (1y Avg.),2012, California,Imperial County,6025,0.209546536,439,2095
Senior Unemployment Rate (1y Avg.),2012, California,Kern County,6029,0.10132315,1141,11261
Senior Unemployment Rate (1y Avg.),2012, California,Kings County,6031,0.0207697,34,1637
Senior Unemployment Rate (1y Avg.),2012, California,Lake County,6033,0.049307957,114,2312
Senior Unemployment Rate (1y Avg.),2012, California,Los Angeles County,6037,0.094172545,19334,205304
Senior Unemployment Rate (1y Avg.),2012, California,Madera County,6039,0.089776635,209,2328
Senior Unemployment Rate (1y Avg.),2012, California,Marin County,6041,0.036785513,455,12369
Senior Unemployment Rate (1y Avg.),2012, California,Mendocino County,6045,0.112026356,272,2428
Senior Unemployment Rate (1y Avg.),2012, California,Merced County,6047,0.08995387,351,3902
Senior Unemployment Rate (1y Avg.),2012, California,Monterey County,6053,0.095410496,896,9391
Senior Unemployment Rate (1y Avg.),2012, California,Napa County,6055,0.094808742,347,3660
Senior Unemployment Rate (1y Avg.),2012, California,Nevada County,6057,0.022230741,58,2609
Senior Unemployment Rate (1y Avg.),2012, California,Orange County,6059,0.058526941,4411,75367
Senior Unemployment Rate (1y Avg.),2012, California,Placer County,6061,0.0965546,695,7198
Senior Unemployment Rate (1y Avg.),2012, California,Riverside County,6065,0.10043896,4233,42145
Senior Unemployment Rate (1y Avg.),2012, California,Sacramento County,6067,0.089438401,2228,24911
Senior Unemployment Rate (1y Avg.),2012, California,San Bernardino County,6071,0.091080591,2414,26504
Senior Unemployment Rate (1y Avg.),2012, California,San Diego County,6073,0.070603639,4475,63382
Senior Unemployment Rate (1y Avg.),2012, California,San Francisco County,6075,0.072700955,1306,17964
Senior Unemployment Rate (1y Avg.),2012, California,San Joaquin County,6077,0.119222075,1318,11055
Senior Unemployment Rate (1y Avg.),2012, California,San Luis Obispo County,6079,0.100234829,811,8091
Senior Unemployment Rate (1y Avg.),2012, California,San Mateo County,6081,0.036936197,719,19466
Senior Unemployment Rate (1y Avg.),2012, California,Santa Barbara County,6083,0.059972107,688,11472
Senior Unemployment Rate (1y Avg.),2012, California,Santa Clara County,6085,0.083357185,3204,38437
Senior Unemployment Rate (1y Avg.),2012, California,Santa Cruz County,6087,0.050136305,423,8437
Senior Unemployment Rate (1y Avg.),2012, California,Shasta County,6089,0.092445582,361,3905
Senior Unemployment Rate (1y Avg.),2012, California,Solano County,6095,0.06864208,644,9382
Senior Unemployment Rate (1y Avg.),2012, California,Sonoma County,6097,0.096186802,1347,14004
Senior Unemployment Rate (1y Avg.),2012, California,Stanislaus County,6099,0.108442776,867,7995
Senior Unemployment Rate (1y Avg.),2012, California,Sutter County,6101,0.078616351,125,1590
Senior Unemployment Rate (1y Avg.),2012, California,Tulare County,6107,0.089775234,691,7697
Senior Unemployment Rate (1y Avg.),2012, California,Ventura County,6111,0.086376466,1897,21962
Senior Unemployment Rate (1y Avg.),2012, California,Yolo County,6113,0.066035256,251,3801
Senior Unemployment Rate (1y Avg.),2012, California,Yuba County,6115,0.102613747,106,1033
Senior Unemployment Rate (1y Avg.),2012, Colorado,Adams County,8001,0.10263712,829,8077
Senior Unemployment Rate (1y Avg.),2012, Colorado,Arapahoe County,8005,0.08436282,1277,15137
Senior Unemployment Rate (1y Avg.),2012, Colorado,Boulder County,8013,0.030258402,226,7469
Senior Unemployment Rate (1y Avg.),2012, Colorado,Denver County,8031,0.05142054,695,13516
Senior Unemployment Rate (1y Avg.),2012, Colorado,Douglas County,8035,0.059936907,342,5706
Senior Unemployment Rate (1y Avg.),2012, Colorado,El Paso County,8041,0.076579176,1062,13868
Senior Unemployment Rate (1y Avg.),2012, Colorado,Jefferson County,8059,0.065268658,1024,15689
Senior Unemployment Rate (1y Avg.),2012, Colorado,Larimer County,8069,0.023809524,191,8022
Senior Unemployment Rate (1y Avg.),2012, Colorado,Mesa County,8077,0.053747162,213,3963
Senior Unemployment Rate (1y Avg.),2012, Colorado,Pueblo County,8101,0.065578386,233,3553
Senior Unemployment Rate (1y Avg.),2012, Colorado,Weld County,8123,0.069974802,361,5159
Senior Unemployment Rate (1y Avg.),2012, Connecticut,Fairfield County,9001,0.065759711,2064,31387
Senior Unemployment Rate (1y Avg.),2012, Connecticut,Hartford County,9003,0.114969194,2874,24998
Senior Unemployment Rate (1y Avg.),2012, Connecticut,Litchfield County,9005,0.047613159,385,8086
Senior Unemployment Rate (1y Avg.),2012, Connecticut,Middlesex County,9007,0.087405644,440,5034
Senior Unemployment Rate (1y Avg.),2012, Connecticut,New Haven County,9009,0.055278454,1341,24259
Senior Unemployment Rate (1y Avg.),2012, Connecticut,New London County,9011,0.032080777,251,7824
Senior Unemployment Rate (1y Avg.),2012, Connecticut,Tolland County,9013,0.069515668,244,3510
Senior Unemployment Rate (1y Avg.),2012, Connecticut,Windham County,9015,0.063126624,170,2693
Senior Unemployment Rate (1y Avg.),2012, Delaware,Kent County,10001,0.095699728,385,4023
Senior Unemployment Rate (1y Avg.),2012, Delaware,New Castle County,10003,0.075065777,970,12922
