measure label,year,state,county,fips,perc_vacant_housing_1y2013,numerator,denominator
perc_vacant_housing_1y,2013, Ohio,Hamilton County,39061,0.106887631,40189,375993
perc_vacant_housing_1y,2013, Ohio,Hancock County,39063,,,33132
perc_vacant_housing_1y,2013, Ohio,Jefferson County,39081,0.141146049,4584,32477
perc_vacant_housing_1y,2013, Ohio,Lake County,39085,0.084294207,8546,101383
perc_vacant_housing_1y,2013, Ohio,Licking County,39089,0.087230191,6070,69586
perc_vacant_housing_1y,2013, Ohio,Lorain County,39093,0.086662918,11088,127944
perc_vacant_housing_1y,2013, Ohio,Lucas County,39095,0.120358936,24264,201597
perc_vacant_housing_1y,2013, Ohio,Mahoning County,39099,0.115959629,12891,111168
perc_vacant_housing_1y,2013, Ohio,Marion County,39101,0.125816822,3485,27699
perc_vacant_housing_1y,2013, Ohio,Medina County,39103,0.057309657,4015,70058
perc_vacant_housing_1y,2013, Ohio,Miami County,39109,,,44161
perc_vacant_housing_1y,2013, Ohio,Montgomery County,39113,0.128071904,32514,253873
perc_vacant_housing_1y,2013, Ohio,Muskingum County,39119,0.090467595,3409,37682
perc_vacant_housing_1y,2013, Ohio,Portage County,39133,0.069219068,4688,67727
perc_vacant_housing_1y,2013, Ohio,Richland County,39139,0.115463421,6255,54173
perc_vacant_housing_1y,2013, Ohio,Ross County,39141,0.109477997,3471,31705
perc_vacant_housing_1y,2013, Ohio,Scioto County,39145,0.131530046,4459,33901
perc_vacant_housing_1y,2013, Ohio,Stark County,39151,0.0887288,14632,164907
perc_vacant_housing_1y,2013, Ohio,Summit County,39153,0.099613741,24371,244655
perc_vacant_housing_1y,2013, Ohio,Trumbull County,39155,0.099629723,9498,95333
perc_vacant_housing_1y,2013, Ohio,Tuscarawas County,39157,0.118985496,4743,39862
perc_vacant_housing_1y,2013, Ohio,Warren County,39165,0.062710628,5173,82490
perc_vacant_housing_1y,2013, Ohio,Wayne County,39169,,,45727
perc_vacant_housing_1y,2013, Ohio,Wood County,39173,0.074531034,3993,53575
perc_vacant_housing_1y,2013, Oklahoma,Canadian County,40017,0.100391246,4670,46518
perc_vacant_housing_1y,2013, Oklahoma,Cleveland County,40027,0.072067671,7813,108412
perc_vacant_housing_1y,2013, Oklahoma,Comanche County,40031,0.142570987,7331,51420
perc_vacant_housing_1y,2013, Oklahoma,Creek County,40037,0.143558368,4270,29744
perc_vacant_housing_1y,2013, Oklahoma,Muskogee County,40101,0.138584927,4268,30797
perc_vacant_housing_1y,2013, Oklahoma,Oklahoma County,40109,0.103726059,33748,325357
perc_vacant_housing_1y,2013, Oklahoma,Payne County,40119,0.124396347,4276,34374
perc_vacant_housing_1y,2013, Oklahoma,Pottawatomie County,40125,0.120029904,3532,29426
perc_vacant_housing_1y,2013, Oklahoma,Rogers County,40131,0.067768224,2428,35828
perc_vacant_housing_1y,2013, Oklahoma,Tulsa County,40143,0.108123481,29656,274279
perc_vacant_housing_1y,2013, Oklahoma,Wagoner County,40145,0.0870426,2638,30307
perc_vacant_housing_1y,2013, Oregon,Benton County,41003,0.085604906,3153,36832
perc_vacant_housing_1y,2013, Oregon,Clackamas County,41005,0.053168964,8462,159153
perc_vacant_housing_1y,2013, Oregon,Deschutes County,41017,0.190272152,15409,80984
perc_vacant_housing_1y,2013, Oregon,Douglas County,41019,0.103351206,5030,48669
perc_vacant_housing_1y,2013, Oregon,Jackson County,41029,0.078254953,7132,91138
perc_vacant_housing_1y,2013, Oregon,Josephine County,41033,0.082800359,3133,37838
perc_vacant_housing_1y,2013, Oregon,Klamath County,41035,0.210337639,6865,32638
perc_vacant_housing_1y,2013, Oregon,Lane County,41039,0.07385768,11554,156436
perc_vacant_housing_1y,2013, Oregon,Linn County,41043,0.095797837,4678,48832
perc_vacant_housing_1y,2013, Oregon,Marion County,41047,0.059667263,7259,121658
perc_vacant_housing_1y,2013, Oregon,Multnomah County,41051,0.049192064,16080,326882
perc_vacant_housing_1y,2013, Oregon,Polk County,41053,,,30393
perc_vacant_housing_1y,2013, Oregon,Umatilla County,41059,0.083652124,2471,29539
perc_vacant_housing_1y,2013, Oregon,Washington County,41067,0.049090985,10593,215783
perc_vacant_housing_1y,2013, Oregon,Yamhill County,41071,,,37189
perc_vacant_housing_1y,2013, Pennsylvania,Adams County,42001,0.079847999,3278,41053
perc_vacant_housing_1y,2013, Pennsylvania,Allegheny County,42003,0.094747208,55698,587859
perc_vacant_housing_1y,2013, Pennsylvania,Armstrong County,42005,0.121705741,3930,32291
perc_vacant_housing_1y,2013, Pennsylvania,Beaver County,42007,0.091997594,7184,78089
perc_vacant_housing_1y,2013, Pennsylvania,Berks County,42011,0.066312335,10892,164253
perc_vacant_housing_1y,2013, Pennsylvania,Blair County,42013,0.080824882,4519,55911
perc_vacant_housing_1y,2013, Pennsylvania,Bucks County,42017,0.053418536,13133,245851
perc_vacant_housing_1y,2013, Pennsylvania,Butler County,42019,0.058892846,4648,78923
perc_vacant_housing_1y,2013, Pennsylvania,Cambria County,42021,0.117405862,7645,65116
perc_vacant_housing_1y,2013, Pennsylvania,Carbon County,42025,0.250153184,8574,34275
perc_vacant_housing_1y,2013, Pennsylvania,Centre County,42027,0.114457272,7358,64286
perc_vacant_housing_1y,2013, Pennsylvania,Chester County,42029,0.0398979,7753,194321
perc_vacant_housing_1y,2013, Pennsylvania,Clearfield County,42033,0.193677738,7438,38404
perc_vacant_housing_1y,2013, Pennsylvania,Columbia County,42037,0.101253353,2981,29441
perc_vacant_housing_1y,2013, Pennsylvania,Crawford County,42039,0.2236619,9891,44223
perc_vacant_housing_1y,2013, Pennsylvania,Cumberland County,42041,0.048244793,4905,101669
perc_vacant_housing_1y,2013, Pennsylvania,Dauphin County,42043,0.090645254,10994,121286
perc_vacant_housing_1y,2013, Pennsylvania,Delaware County,42045,0.098212473,21774,221703
perc_vacant_housing_1y,2013, Pennsylvania,Erie County,42049,0.067496292,8049,119251
perc_vacant_housing_1y,2013, Pennsylvania,Fayette County,42051,0.157107428,9820,62505
perc_vacant_housing_1y,2013, Pennsylvania,Franklin County,42055,0.068296202,4356,63781
perc_vacant_housing_1y,2013, Pennsylvania,Indiana County,42063,0.124862917,4782,38298
perc_vacant_housing_1y,2013, Pennsylvania,Lackawanna County,42069,0.130138829,12542,96374
perc_vacant_housing_1y,2013, Pennsylvania,Lancaster County,42071,0.050468739,10347,205018
perc_vacant_housing_1y,2013, Pennsylvania,Lawrence County,42073,0.105374545,4282,40636
perc_vacant_housing_1y,2013, Pennsylvania,Lebanon County,42075,0.061889544,3447,55696
perc_vacant_housing_1y,2013, Pennsylvania,Lehigh County,42077,0.062626064,8942,142784
perc_vacant_housing_1y,2013, Pennsylvania,Luzerne County,42079,0.129417658,19141,147901
perc_vacant_housing_1y,2013, Pennsylvania,Lycoming County,42081,0.127420858,6678,52409
perc_vacant_housing_1y,2013, Pennsylvania,Mercer County,42085,0.110486597,5681,51418
perc_vacant_housing_1y,2013, Pennsylvania,Monroe County,42089,0.265781254,21393,80491
perc_vacant_housing_1y,2013, Pennsylvania,Montgomery County,42091,0.0605639,19762,326300
perc_vacant_housing_1y,2013, Pennsylvania,Northampton County,42095,0.069091238,8338,120681
perc_vacant_housing_1y,2013, Pennsylvania,Northumberland County,42097,0.117063053,5247,44822
perc_vacant_housing_1y,2013, Pennsylvania,Philadelphia County,42101,0.124307804,82991,667625
perc_vacant_housing_1y,2013, Pennsylvania,Schuylkill County,42107,0.148063153,10194,68849
perc_vacant_housing_1y,2013, Pennsylvania,Somerset County,42111,0.196915582,7444,37803
perc_vacant_housing_1y,2013, Pennsylvania,Washington County,42125,0.105424978,9841,93346
perc_vacant_housing_1y,2013, Pennsylvania,Westmoreland County,42129,0.107504889,18029,167704
perc_vacant_housing_1y,2013, Pennsylvania,York County,42133,0.079620741,14301,179614
perc_vacant_housing_1y,2013, Puerto Rico,Arecibo Municipio,72013,0.214382246,8884,41440
perc_vacant_housing_1y,2013, Puerto Rico,Bayamón Municipio,72021,0.151821569,12702,83664
perc_vacant_housing_1y,2013, Puerto Rico,Caguas Municipio,72025,0.125418887,7298,58189
perc_vacant_housing_1y,2013, Puerto Rico,Carolina Municipio,72031,0.159170404,12241,76905
perc_vacant_housing_1y,2013, Puerto Rico,Guaynabo Municipio,72061,0.094038829,3846,40898
perc_vacant_housing_1y,2013, Puerto Rico,Mayagüez Municipio,72097,0.268784314,11068,41178
perc_vacant_housing_1y,2013, Puerto Rico,Ponce Municipio,72113,0.160217449,10757,67140
perc_vacant_housing_1y,2013, Puerto Rico,San Juan Municipio,72127,0.22456257,43200,192374
perc_vacant_housing_1y,2013, Puerto Rico,Toa Alta Municipio,72135,0.136462539,3512,25736
perc_vacant_housing_1y,2013, Puerto Rico,Toa Baja Municipio,72137,0.16216138,5579,34404
