measure label,year,state,county,fips,perc_seniors_below_poverty_1y,numerator,denominator
perc_seniors_below_poverty_1y,2015,1,Baldwin County,1003,,2644,
perc_seniors_below_poverty_1y,2015,1,Calhoun County,1015,,2021,
perc_seniors_below_poverty_1y,2015,1,Cullman County,1043,,1731,
perc_seniors_below_poverty_1y,2015,1,DeKalb County,1049,,1564,
perc_seniors_below_poverty_1y,2015,1,Elmore County,1051,,1201,
perc_seniors_below_poverty_1y,2015,1,Etowah County,1055,,1491,
perc_seniors_below_poverty_1y,2015,1,Houston County,1069,,1154,
perc_seniors_below_poverty_1y,2015,1,Jefferson County,1073,0.103821509,10014,96454
perc_seniors_below_poverty_1y,2015,1,Lauderdale County,1077,,778,
perc_seniors_below_poverty_1y,2015,1,Lee County,1081,,1928,
perc_seniors_below_poverty_1y,2015,1,Limestone County,1083,,1393,
perc_seniors_below_poverty_1y,2015,1,Madison County,1089,,3366,
perc_seniors_below_poverty_1y,2015,1,Marshall County,1095,,1084,
perc_seniors_below_poverty_1y,2015,1,Mobile County,1097,,5160,
perc_seniors_below_poverty_1y,2015,1,Montgomery County,1101,,3105,
perc_seniors_below_poverty_1y,2015,1,Morgan County,1103,,1790,
perc_seniors_below_poverty_1y,2015,1,Shelby County,1117,,1311,
perc_seniors_below_poverty_1y,2015,1,St. Clair County,1115,,789,
perc_seniors_below_poverty_1y,2015,1,Talladega County,1121,,1352,
perc_seniors_below_poverty_1y,2015,1,Tuscaloosa County,1125,,1471,
perc_seniors_below_poverty_1y,2015,1,Walker County,1127,,1491,
perc_seniors_below_poverty_1y,2015,2,Anchorage Municipality,2020,,1090,
perc_seniors_below_poverty_1y,2015,2,Fairbanks North Star Borough,2090,,271,
perc_seniors_below_poverty_1y,2015,2,Matanuska-Susitna Borough,2170,,438,
perc_seniors_below_poverty_1y,2015,3,Apache County,4001,,2899,
perc_seniors_below_poverty_1y,2015,3,Cochise County,4003,,2459,
perc_seniors_below_poverty_1y,2015,3,Coconino County,4005,,2571,
perc_seniors_below_poverty_1y,2015,3,Maricopa County,4013,0.085121341,50479,593024
perc_seniors_below_poverty_1y,2015,3,Mohave County,4015,,3529,
perc_seniors_below_poverty_1y,2015,3,Navajo County,4017,,2485,
perc_seniors_below_poverty_1y,2015,3,Pima County,4019,0.086900599,16147,185810
perc_seniors_below_poverty_1y,2015,3,Pinal County,4021,,7088,
perc_seniors_below_poverty_1y,2015,3,Yavapai County,4025,,4004,
perc_seniors_below_poverty_1y,2015,3,Yuma County,4027,,3825,
perc_seniors_below_poverty_1y,2015,4,Benton County,5007,,2633,
perc_seniors_below_poverty_1y,2015,4,Craighead County,5031,,795,
perc_seniors_below_poverty_1y,2015,4,Faulkner County,5045,,964,
perc_seniors_below_poverty_1y,2015,4,Garland County,5051,,1779,
perc_seniors_below_poverty_1y,2015,4,Jefferson County,5069,,1032,
perc_seniors_below_poverty_1y,2015,4,Lonoke County,5085,,722,
perc_seniors_below_poverty_1y,2015,4,Pulaski County,5119,,5513,
perc_seniors_below_poverty_1y,2015,4,Saline County,5125,,1265,
perc_seniors_below_poverty_1y,2015,4,Sebastian County,5131,,2507,
perc_seniors_below_poverty_1y,2015,4,Washington County,5143,,2702,
perc_seniors_below_poverty_1y,2015,4,White County,5145,,1384,
