measure label,year,state,county,fips,perc_seniors_below_poverty_1y,numerator,denominator
perc_seniors_below_poverty_1y,2013,1,Baldwin County,1003,,2065,
perc_seniors_below_poverty_1y,2013,1,Calhoun County,1015,,1197,
perc_seniors_below_poverty_1y,2013,1,Cullman County,1043,,1729,
perc_seniors_below_poverty_1y,2013,1,DeKalb County,1049,,1641,
perc_seniors_below_poverty_1y,2013,1,Elmore County,1051,,544,
perc_seniors_below_poverty_1y,2013,1,Etowah County,1055,,2381,
perc_seniors_below_poverty_1y,2013,1,Houston County,1069,,1413,
perc_seniors_below_poverty_1y,2013,1,Jefferson County,1073,0.104752548,9599,91635
perc_seniors_below_poverty_1y,2013,1,Lauderdale County,1077,,772,
perc_seniors_below_poverty_1y,2013,1,Lee County,1081,,1362,
perc_seniors_below_poverty_1y,2013,1,Limestone County,1083,,1318,
perc_seniors_below_poverty_1y,2013,1,Madison County,1089,,3558,
perc_seniors_below_poverty_1y,2013,1,Marshall County,1095,,1590,
perc_seniors_below_poverty_1y,2013,1,Mobile County,1097,,7776,
perc_seniors_below_poverty_1y,2013,1,Montgomery County,1101,,3062,
perc_seniors_below_poverty_1y,2013,1,Morgan County,1103,,1836,
perc_seniors_below_poverty_1y,2013,1,Shelby County,1117,,1151,
perc_seniors_below_poverty_1y,2013,1,St. Clair County,1115,,705,
perc_seniors_below_poverty_1y,2013,1,Talladega County,1121,,851,
perc_seniors_below_poverty_1y,2013,1,Tuscaloosa County,1125,,1459,
perc_seniors_below_poverty_1y,2013,1,Walker County,1127,,971,
perc_seniors_below_poverty_1y,2013,2,Anchorage Municipality,2020,,1423,
perc_seniors_below_poverty_1y,2013,2,Fairbanks North Star Borough,2090,,129,
perc_seniors_below_poverty_1y,2013,2,Matanuska-Susitna Borough,2170,,310,
perc_seniors_below_poverty_1y,2013,3,Apache County,4001,,2698,
perc_seniors_below_poverty_1y,2013,3,Cochise County,4003,,3158,
perc_seniors_below_poverty_1y,2013,3,Coconino County,4005,,1440,
perc_seniors_below_poverty_1y,2013,3,Maricopa County,4013,0.080899023,43535,538140
perc_seniors_below_poverty_1y,2013,3,Mohave County,4015,,3541,
perc_seniors_below_poverty_1y,2013,3,Navajo County,4017,,2369,
perc_seniors_below_poverty_1y,2013,3,Pima County,4019,0.081407383,13924,171041
perc_seniors_below_poverty_1y,2013,3,Pinal County,4021,,5288,
perc_seniors_below_poverty_1y,2013,3,Yavapai County,4025,,5323,
perc_seniors_below_poverty_1y,2013,3,Yuma County,4027,,4477,
perc_seniors_below_poverty_1y,2013,4,Benton County,5007,,2411,
perc_seniors_below_poverty_1y,2013,4,Craighead County,5031,,1007,
perc_seniors_below_poverty_1y,2013,4,Faulkner County,5045,,520,
perc_seniors_below_poverty_1y,2013,4,Garland County,5051,,2014,
perc_seniors_below_poverty_1y,2013,4,Jefferson County,5069,,2018,
perc_seniors_below_poverty_1y,2013,4,Lonoke County,5085,,883,
perc_seniors_below_poverty_1y,2013,4,Pulaski County,5119,,3498,
perc_seniors_below_poverty_1y,2013,4,Saline County,5125,,715,
perc_seniors_below_poverty_1y,2013,4,Sebastian County,5131,,3050,
perc_seniors_below_poverty_1y,2013,4,Washington County,5143,,1872,
perc_seniors_below_poverty_1y,2013,4,White County,5145,,1318,
perc_seniors_below_poverty_1y,2013,5,Alameda County,6001,0.080356769,15442,192168
perc_seniors_below_poverty_1y,2013,5,Butte County,6007,,2854,
perc_seniors_below_poverty_1y,2013,5,Contra Costa County,6013,0.06789013,10262,151156
perc_seniors_below_poverty_1y,2013,5,El Dorado County,6017,,2532,
perc_seniors_below_poverty_1y,2013,5,Fresno County,6019,0.122858271,12742,103713
perc_seniors_below_poverty_1y,2013,5,Humboldt County,6023,,1465,
perc_seniors_below_poverty_1y,2013,5,Imperial County,6025,,3538,
perc_seniors_below_poverty_1y,2013,5,Kern County,6029,0.107390285,8944,83285
perc_seniors_below_poverty_1y,2013,5,Kings County,6031,,1144,
perc_seniors_below_poverty_1y,2013,5,Lake County,6033,,842,
perc_seniors_below_poverty_1y,2013,5,Los Angeles County,6037,0.134114757,159204,1187073
perc_seniors_below_poverty_1y,2013,5,Madera County,6039,,3364,
perc_seniors_below_poverty_1y,2013,5,Marin County,6041,,2600,
perc_seniors_below_poverty_1y,2013,5,Mendocino County,6045,,1623,
perc_seniors_below_poverty_1y,2013,5,Merced County,6047,,3744,
perc_seniors_below_poverty_1y,2013,5,Monterey County,6053,,6007,
perc_seniors_below_poverty_1y,2013,5,Napa County,6055,,1830,
perc_seniors_below_poverty_1y,2013,5,Nevada County,6057,,823,
perc_seniors_below_poverty_1y,2013,5,Orange County,6059,0.090681538,36011,397115
perc_seniors_below_poverty_1y,2013,5,Placer County,6061,,4571,
perc_seniors_below_poverty_1y,2013,5,Riverside County,6065,0.090835139,26689,293818
perc_seniors_below_poverty_1y,2013,5,Sacramento County,6067,0.101938009,18515,181630
perc_seniors_below_poverty_1y,2013,5,San Bernardino County,6071,0.116955198,24422,208815
