measure label,year,state,county,fips,perc_seniors_below_poverty_1y2014,numerator,denominator
perc_seniors_below_poverty_1y,2014, Alabama,Baldwin County,1003,,4078,
perc_seniors_below_poverty_1y,2014, Alabama,Calhoun County,1015,,2589,
perc_seniors_below_poverty_1y,2014, Alabama,Cullman County,1043,,1376,
perc_seniors_below_poverty_1y,2014, Alabama,DeKalb County,1049,,1257,
perc_seniors_below_poverty_1y,2014, Alabama,Elmore County,1051,,644,
perc_seniors_below_poverty_1y,2014, Alabama,Etowah County,1055,,1643,
perc_seniors_below_poverty_1y,2014, Alabama,Houston County,1069,,1746,
perc_seniors_below_poverty_1y,2014, Alabama,Jefferson County,1073,0.095721826,9046,94503
perc_seniors_below_poverty_1y,2014, Alabama,Lauderdale County,1077,,1473,
perc_seniors_below_poverty_1y,2014, Alabama,Lee County,1081,,1371,
perc_seniors_below_poverty_1y,2014, Alabama,Limestone County,1083,,824,
perc_seniors_below_poverty_1y,2014, Alabama,Madison County,1089,,5336,
perc_seniors_below_poverty_1y,2014, Alabama,Marshall County,1095,,1708,
perc_seniors_below_poverty_1y,2014, Alabama,Mobile County,1097,,6748,
perc_seniors_below_poverty_1y,2014, Alabama,Montgomery County,1101,,3000,
perc_seniors_below_poverty_1y,2014, Alabama,Morgan County,1103,,1362,
perc_seniors_below_poverty_1y,2014, Alabama,Shelby County,1117,,1846,
perc_seniors_below_poverty_1y,2014, Alabama,St. Clair County,1115,,1724,
perc_seniors_below_poverty_1y,2014, Alabama,Talladega County,1121,,1689,
perc_seniors_below_poverty_1y,2014, Alabama,Tuscaloosa County,1125,,1986,
perc_seniors_below_poverty_1y,2014, Alabama,Walker County,1127,,1379,
perc_seniors_below_poverty_1y,2014, Alaska,Anchorage Municipality,2020,,1082,
perc_seniors_below_poverty_1y,2014, Alaska,Fairbanks North Star Borough,2090,,215,
perc_seniors_below_poverty_1y,2014, Alaska,Matanuska-Susitna Borough,2170,,588,
perc_seniors_below_poverty_1y,2014, Arizona,Apache County,4001,,1741,
perc_seniors_below_poverty_1y,2014, Arizona,Cochise County,4003,,3415,
perc_seniors_below_poverty_1y,2014, Arizona,Coconino County,4005,,1826,
perc_seniors_below_poverty_1y,2014, Arizona,Maricopa County,4013,0.083783433,47420,565983
perc_seniors_below_poverty_1y,2014, Arizona,Mohave County,4015,,4652,
perc_seniors_below_poverty_1y,2014, Arizona,Navajo County,4017,,2942,
perc_seniors_below_poverty_1y,2014, Arizona,Pima County,4019,0.088427082,15744,178045
perc_seniors_below_poverty_1y,2014, Arizona,Pinal County,4021,,6974,
perc_seniors_below_poverty_1y,2014, Arizona,Yavapai County,4025,,5182,
perc_seniors_below_poverty_1y,2014, Arizona,Yuma County,4027,,5788,
perc_seniors_below_poverty_1y,2014, Arkansas,Benton County,5007,,2295,
perc_seniors_below_poverty_1y,2014, Arkansas,Craighead County,5031,,999,
perc_seniors_below_poverty_1y,2014, Arkansas,Faulkner County,5045,,583,
perc_seniors_below_poverty_1y,2014, Arkansas,Garland County,5051,,1395,
perc_seniors_below_poverty_1y,2014, Arkansas,Jefferson County,5069,,780,
perc_seniors_below_poverty_1y,2014, Arkansas,Lonoke County,5085,,666,
