measure label,year,state,county,fips,perc_seniors_below_poverty_1y,numerator,denominator
perc_seniors_below_poverty_1y,2012, Alabama,Baldwin County,1003,,1562,
perc_seniors_below_poverty_1y,2012, Alabama,Calhoun County,1015,,1959,
perc_seniors_below_poverty_1y,2012, Alabama,Cullman County,1043,,2047,
perc_seniors_below_poverty_1y,2012, Alabama,DeKalb County,1049,,1115,
perc_seniors_below_poverty_1y,2012, Alabama,Elmore County,1051,,1085,
perc_seniors_below_poverty_1y,2012, Alabama,Etowah County,1055,,2424,
perc_seniors_below_poverty_1y,2012, Alabama,Houston County,1069,,1621,
perc_seniors_below_poverty_1y,2012, Alabama,Jefferson County,1073,0.105627179,9438,89352
perc_seniors_below_poverty_1y,2012, Alabama,Lauderdale County,1077,,1887,
perc_seniors_below_poverty_1y,2012, Alabama,Lee County,1081,,1395,
perc_seniors_below_poverty_1y,2012, Alabama,Limestone County,1083,,1296,
perc_seniors_below_poverty_1y,2012, Alabama,Madison County,1089,,2656,
perc_seniors_below_poverty_1y,2012, Alabama,Marshall County,1095,,1304,
perc_seniors_below_poverty_1y,2012, Alabama,Mobile County,1097,,7076,
perc_seniors_below_poverty_1y,2012, Alabama,Montgomery County,1101,,2572,
perc_seniors_below_poverty_1y,2012, Alabama,Morgan County,1103,,1093,
perc_seniors_below_poverty_1y,2012, Alabama,Shelby County,1117,,848,
perc_seniors_below_poverty_1y,2012, Alabama,St. Clair County,1115,,801,
perc_seniors_below_poverty_1y,2012, Alabama,Talladega County,1121,,1779,
perc_seniors_below_poverty_1y,2012, Alabama,Tuscaloosa County,1125,,1866,
perc_seniors_below_poverty_1y,2012, Alabama,Walker County,1127,,994,
perc_seniors_below_poverty_1y,2012, Alaska,Anchorage Municipality,2020,,730,
perc_seniors_below_poverty_1y,2012, Alaska,Fairbanks North Star Borough,2090,,418,
perc_seniors_below_poverty_1y,2012, Alaska,Matanuska-Susitna Borough,2170,,408,
perc_seniors_below_poverty_1y,2012, Arizona,Apache County,4001,,1816,
perc_seniors_below_poverty_1y,2012, Arizona,Cochise County,4003,,3013,
perc_seniors_below_poverty_1y,2012, Arizona,Coconino County,4005,,1486,
perc_seniors_below_poverty_1y,2012, Arizona,Maricopa County,4013,0.075773589,38781,511801
perc_seniors_below_poverty_1y,2012, Arizona,Mohave County,4015,,4062,
perc_seniors_below_poverty_1y,2012, Arizona,Navajo County,4017,,2398,
perc_seniors_below_poverty_1y,2012, Arizona,Pima County,4019,0.086245738,14165,164240
perc_seniors_below_poverty_1y,2012, Arizona,Pinal County,4021,,4205,
perc_seniors_below_poverty_1y,2012, Arizona,Yavapai County,4025,,2150,
perc_seniors_below_poverty_1y,2012, Arizona,Yuma County,4027,,3434,
perc_seniors_below_poverty_1y,2012, Arkansas,Benton County,5007,,1416,
perc_seniors_below_poverty_1y,2012, Arkansas,Craighead County,5031,,825,
perc_seniors_below_poverty_1y,2012, Arkansas,Faulkner County,5045,,962,
perc_seniors_below_poverty_1y,2012, Arkansas,Garland County,5051,,1407,
perc_seniors_below_poverty_1y,2012, Arkansas,Jefferson County,5069,,942,
perc_seniors_below_poverty_1y,2012, Arkansas,Lonoke County,5085,,905,
perc_seniors_below_poverty_1y,2012, Arkansas,Pulaski County,5119,,3924,
perc_seniors_below_poverty_1y,2012, Arkansas,Saline County,5125,,1117,
perc_seniors_below_poverty_1y,2012, Arkansas,Sebastian County,5131,,1626,
perc_seniors_below_poverty_1y,2012, Arkansas,Washington County,5143,,2277,
perc_seniors_below_poverty_1y,2012, Arkansas,White County,5145,,912,
perc_seniors_below_poverty_1y,2012, California,Alameda County,6001,0.085805245,15687,182821
perc_seniors_below_poverty_1y,2012, California,Butte County,6007,,2177,
perc_seniors_below_poverty_1y,2012, California,Contra Costa County,6013,0.064245597,9254,144041
perc_seniors_below_poverty_1y,2012, California,El Dorado County,6017,,1273,
perc_seniors_below_poverty_1y,2012, California,Fresno County,6019,0.112040266,11241,100330
perc_seniors_below_poverty_1y,2012, California,Humboldt County,6023,,1668,
perc_seniors_below_poverty_1y,2012, California,Imperial County,6025,,2611,
perc_seniors_below_poverty_1y,2012, California,Kern County,6029,0.131731093,10595,80429
perc_seniors_below_poverty_1y,2012, California,Kings County,6031,,1576,
perc_seniors_below_poverty_1y,2012, California,Lake County,6033,,1581,
perc_seniors_below_poverty_1y,2012, California,Los Angeles County,6037,0.131707579,150750,1144581
perc_seniors_below_poverty_1y,2012, California,Madera County,6039,,1424,
