state,county,value
California,Ventura,0.054
California,Yolo,0.063
California,Yuba,0.111
Colorado,Adams,0.057
Colorado,Alamosa,0.096
Colorado,Arapahoe,0.051
Colorado,Archuleta,0.396
Colorado,Baca,0.272
Colorado,Bent,0.179
Colorado,Boulder,0.055
Colorado,Broomfield,0.052
Colorado,Chaffee,0.239
Colorado,Cheyenne,0.163
Colorado,Clear Creek,0.279
Colorado,Conejos,0.295
Colorado,Costilla,0.475
Colorado,Crowley,0.245
Colorado,Custer,0.529
Colorado,Delta,0.137
Colorado,Denver,0.067
Colorado,Dolores,0.469
Colorado,Douglas,0.04
Colorado,Eagle,0.425
Colorado,El Paso,0.065
Colorado,Elbert,0.081
Colorado,Fremont,0.135
Colorado,Garfield,0.129
Colorado,Gilpin,0.277
Colorado,Grand,0.682
Colorado,Gunnison,0.449
Colorado,Hinsdale,0.711
Colorado,Huerfano,0.44
Colorado,Jackson,0.494
Colorado,Jefferson,0.045
Colorado,Kiowa,0.292
Colorado,Kit Carson,0.127
Colorado,La Plata,0.192
Colorado,Lake,0.304
Colorado,Larimer,0.092
Colorado,Las Animas,0.285
Colorado,Lincoln,0.2
Colorado,Logan,0.127
Colorado,Mesa,0.067
Colorado,Mineral,0.7
Colorado,Moffat,0.209
Colorado,Montezuma,0.114
Colorado,Montrose,0.08
Colorado,Morgan,0.089
Colorado,Otero,0.173
Colorado,Ouray,0.358
Colorado,Park,0.49
Colorado,Phillips,0.103
Colorado,Pitkin,0.433
Colorado,Prowers,0.167
Colorado,Pueblo,0.1
Colorado,Rio Blanco,0.206
Colorado,Rio Grande,0.286
Colorado,Routt,0.414
Colorado,Saguache,0.332
Colorado,San Juan,0.536
Colorado,San Miguel,0.503
Colorado,Sedgwick,0.275
Colorado,Summit,0.655
Colorado,Teller,0.243
Colorado,Washington,0.179
Colorado,Weld,0.057
Colorado,Yuma,0.136
Connecticut,Fairfield,0.08
Connecticut,Hartford,0.07
Connecticut,Litchfield,0.14
Connecticut,Middlesex,0.116
Connecticut,New Haven,0.097
Connecticut,New London,0.117
Connecticut,Tolland,0.066
Connecticut,Windham,0.095
Delaware,Kent,0.113
Delaware,New Castle,0.078
Delaware,Sussex,0.378
District of Columbia,District of Columbia,0.111
Florida,Alachua,0.152
Florida,Baker,0.134
Florida,Bay,0.325
Florida,Bradford,0.194
Florida,Brevard,0.182
Florida,Broward,0.179
Florida,Calhoun,0.2
Florida,Charlotte,0.297
Florida,Citrus,0.221
Florida,Clay,0.109
Florida,Collier,0.368
Florida,Columbia,0.167
Florida,DeSoto,0.252
Florida,Dixie,0.347
Florida,Duval,0.146
Florida,Escambia,0.184
Florida,Flagler,0.266
Florida,Franklin,0.506
Florida,Gadsden,0.128
Florida,Gilchrist,0.136
Florida,Glades,0.443
Florida,Gulf,0.411
Florida,Hamilton,0.181
Florida,Hardee,0.221
Florida,Hendry,0.228
Florida,Hernando,0.17
Florida,Highlands,0.277
Florida,Hillsborough,0.123
Florida,Holmes,0.215
Florida,Indian River,0.253
Florida,Jackson,0.237
Florida,Jefferson,0.187
Florida,Lafayette,0.193
Florida,Lake,0.191
Florida,Lee,0.34
Florida,Leon,0.116
Florida,Levy,0.218
Florida,Liberty,0.283
Florida,Madison,0.213
Florida,Manatee,0.238
Florida,Marion,0.187
Florida,Martin,0.226
Florida,Miami-Dade,0.162
Florida,Monroe,0.462
Florida,Nassau,0.208
Florida,Okaloosa,0.213
Florida,Okeechobee,0.279
Florida,Orange,0.146
Florida,Osceola,0.307
Florida,Palm Beach,0.208
Florida,Pasco,0.199
Florida,Pinellas,0.2
Florida,Polk,0.217
Florida,Putnam,0.247
Florida,Santa Rosa,0.127
Florida,Sarasota,0.247
Florida,Seminole,0.193
Florida,St. Johns,0.167
Florida,St. Lucie,0.218
Florida,Sumter,0.216
Florida,Suwannee,0.18
Florida,Taylor,0.317
Florida,Union,0.148
Florida,Volusia,0.227
Florida,Wakulla,0.149
Florida,Walton,0.51
Florida,Washington,0.219
Georgia,Appling,0.187
Georgia,Atkinson,0.222
Georgia,Bacon,0.171
Georgia,Baker,0.162
Georgia,Baldwin,0.199
Georgia,Banks,0.115
Georgia,Barrow,0.13
Georgia,Bartow,0.114
Georgia,Ben Hill,0.197
Georgia,Berrien,0.182
Georgia,Bibb,0.19
Georgia,Bleckley,0.24
Georgia,Brantley,0.186
Georgia,Brooks,0.148
Georgia,Bryan,0.095
Georgia,Bulloch,0.12
Georgia,Burke,0.19
Georgia,Butts,0.165
Georgia,Calhoun,0.238
Georgia,Camden,0.13
Georgia,Candler,0.165
Georgia,Carroll,0.113
Georgia,Catoosa,0.108
Georgia,Charlton,0.2
Georgia,Chatham,0.142
Georgia,Chattahoochee,0.225
Georgia,Chattooga,0.144
Georgia,Cherokee,0.072
Georgia,Clarke,0.179
