state,county,value
California,Lassen,0.108
California,Los Angeles,0.081
California,Madera,0.077
California,Marin,0.138
California,Mariposa,0.137
California,Mendocino,0.132
California,Merced,0.073
California,Modoc,0.173
California,Mono,0.064
California,Monterey,0.083
California,Napa,0.115
California,Nevada,0.124
California,Orange,0.084
California,Placer,0.108
California,Plumas,0.151
California,Riverside,0.091
California,Sacramento,0.089
California,San Benito,0.07
California,San Bernardino,0.07
California,San Diego,0.084
California,San Francisco,0.101
California,San Joaquin,0.077
California,San Luis Obispo,0.111
California,San Mateo,0.096
California,Santa Barbara,0.105
California,Santa Clara,0.072
California,Santa Cruz,0.1
California,Shasta,0.128
California,Sierra,0.141
California,Siskiyou,0.129
California,Solano,0.085
California,Sonoma,0.116
California,Stanislaus,0.082
California,Sutter,0.099
California,Tehama,0.114
California,Trinity,0.14
California,Tulare,0.068
California,Tuolumne,0.131
California,Ventura,0.092
California,Yolo,0.09
California,Yuba,0.076
Colorado,Adams,0.064
Colorado,Alamosa,0.098
Colorado,Arapahoe,0.074
Colorado,Archuleta,0.094
Colorado,Baca,0.145
Colorado,Bent,0.15
Colorado,Boulder,0.077
Colorado,Broomfield,0.086
Colorado,Chaffee,0.13
Colorado,Cheyenne,0.109
Colorado,Clear Creek,0.096
Colorado,Conejos,0.118
Colorado,Costilla,0.165
Colorado,Crowley,0.115
Colorado,Custer,0.119
Colorado,Delta,0.15
Colorado,Denver,0.091
Colorado,Dolores,0.163
Colorado,Douglas,0.05
Colorado,Eagle,0.046
Colorado,El Paso,0.076
Colorado,Elbert,0.055
Colorado,Fremont,0.159
Colorado,Garfield,0.065
Colorado,Gilpin,0.038
Colorado,Grand,0.082
Colorado,Gunnison,0.077
Colorado,Hinsdale,0.124
Colorado,Huerfano,0.19
Colorado,Jackson,0.14
Colorado,Jefferson,0.09
Colorado,Kiowa,0.136
Colorado,Kit Carson,0.141
Colorado,La Plata,0.075
Colorado,Lake,0.063
Colorado,Larimer,0.083
Colorado,Las Animas,0.134
Colorado,Lincoln,0.147
Colorado,Logan,0.117
Colorado,Mesa,0.109
Colorado,Mineral,0.179
Colorado,Moffat,0.121
Colorado,Montezuma,0.107
Colorado,Montrose,0.127
Colorado,Morgan,0.111
Colorado,Otero,0.134
Colorado,Ouray,0.09
Colorado,Park,0.069
Colorado,Phillips,0.126
Colorado,Pitkin,0.09
Colorado,Prowers,0.125
Colorado,Pueblo,0.121
Colorado,Rio Blanco,0.112
Colorado,Rio Grande,0.119
Colorado,Routt,0.074
Colorado,Saguache,0.147
Colorado,San Juan,0.124
Colorado,San Miguel,0.063
Colorado,Sedgwick,0.162
Colorado,Summit,0.046
Colorado,Teller,0.1
Colorado,Washington,0.161
Colorado,Weld,0.072
Colorado,Yuma,0.13
Connecticut,Fairfield,0.103
Connecticut,Hartford,0.115
Connecticut,Litchfield,0.119
Connecticut,Middlesex,0.112
Connecticut,New Haven,0.117
Connecticut,New London,0.11
Connecticut,Tolland,0.09
Connecticut,Windham,0.09
Delaware,Kent,0.095
Delaware,New Castle,0.097
Delaware,Sussex,0.13
District of Columbia,District of Columbia,0.102
Florida,Alachua,0.082
Florida,Baker,0.085
Florida,Bay,0.098
Florida,Bradford,0.137
Florida,Brevard,0.137
Florida,Broward,0.115
Florida,Calhoun,0.14
Florida,Charlotte,0.185
Florida,Citrus,0.176
Florida,Clay,0.078
Florida,Collier,0.158
Florida,Columbia,0.114
Florida,DeSoto,0.14
Florida,Dixie,0.136
Florida,Duval,0.09
Florida,Escambia,0.114
Florida,Flagler,0.128
Florida,Franklin,0.151
Florida,Gadsden,0.103
Florida,Gilchrist,0.122
Florida,Glades,0.145
Florida,Gulf,0.101
Florida,Hamilton,0.136
Florida,Hardee,0.108
Florida,Hendry,0.107
Florida,Hernando,0.158
Florida,Highlands,0.185
Florida,Hillsborough,0.085
Florida,Holmes,0.131
Florida,Indian River,0.186
Florida,Jackson,0.136
Florida,Jefferson,0.114
Florida,Lafayette,0.123
Florida,Lake,0.14
Florida,Lee,0.14
Florida,Leon,0.076
Florida,Levy,0.147
Florida,Liberty,0.102
Florida,Madison,0.123
Florida,Manatee,0.146
Florida,Marion,0.148
Florida,Martin,0.184
Florida,Miami-Dade,0.094
Florida,Monroe,0.126
Florida,Nassau,0.098
Florida,Okaloosa,0.092
Florida,Okeechobee,0.118
Florida,Orange,0.064
Florida,Osceola,0.072
Florida,Palm Beach,0.158
Florida,Pasco,0.141
Florida,Pinellas,0.164
Florida,Polk,0.12
Florida,Putnam,0.137
Florida,Santa Rosa,0.082
Florida,Sarasota,0.19
Florida,Seminole,0.085
Florida,St. Johns,0.11
Florida,St. Lucie,0.132
Florida,Sumter,0.182
Florida,Suwannee,0.122
Florida,Taylor,0.096
Florida,Union,0.093
Florida,Volusia,0.149
Florida,Wakulla,0.1
Florida,Walton,0.128
Florida,Washington,0.12
Georgia,Appling,0.133
Georgia,Atkinson,0.106
Georgia,Bacon,0.114
Georgia,Baker,0.109
Georgia,Baldwin,0.102
Georgia,Banks,0.086
Georgia,Barrow,0.068
Georgia,Bartow,0.083
Georgia,Ben Hill,0.083
Georgia,Berrien,0.102
Georgia,Bibb,0.104
Georgia,Bleckley,0.131
Georgia,Brantley,0.097
Georgia,Brooks,0.115
Georgia,Bryan,0.074
Georgia,Bulloch,0.067
Georgia,Burke,0.089
Georgia,Butts,0.102
Georgia,Calhoun,0.126
Georgia,Camden,0.056
Georgia,Candler,0.103
Georgia,Carroll,0.089
Georgia,Catoosa,0.103
Georgia,Charlton,0.121
Georgia,Chatham,0.099
Georgia,Chattahoochee,0.042
Georgia,Chattooga,0.121
Georgia,Cherokee,0.07
Georgia,Clarke,0.07
Georgia,Clay,0.161
Georgia,Clayton,0.049
Georgia,Clinch,0.124
Georgia,Cobb,0.061
Georgia,Coffee,0.099
Georgia,Colquitt,0.098
Georgia,Columbia,0.058
Georgia,Cook,0.077
Georgia,Coweta,0.069
Georgia,Crawford,0.083
Georgia,Crisp,0.113
Georgia,Dade,0.084
Georgia,Dawson,0.081
Georgia,Decatur,0.129
Georgia,DeKalb,0.074
Georgia,Dodge,0.138
Georgia,Dooly,0.153
Georgia,Dougherty,0.1
Georgia,Douglas,0.057
Georgia,Early,0.122
Georgia,Echols,0.103
Georgia,Effingham,0.065
Georgia,Elbert,0.13
Georgia,Emanuel,0.134
Georgia,Evans,0.128
Georgia,Fannin,0.139
Georgia,Fayette,0.088
Georgia,Floyd,0.118
Georgia,Forsyth,0.058
Georgia,Franklin,0.134
Georgia,Fulton,0.083
Georgia,Gilmer,0.103
Georgia,Glascock,0.123
Georgia,Glynn,0.112
Georgia,Gordon,0.081
Georgia,Grady,0.089
Georgia,Greene,0.126
Georgia,Gwinnett,0.04
Georgia,Habersham,0.124
Georgia,Hall,0.082
Georgia,Hancock,0.193
Georgia,Haralson,0.112
Georgia,Harris,0.092
Georgia,Hart,0.133
Georgia,Heard,0.126
Georgia,Henry,0.06
Georgia,Houston,0.069
Georgia,Irwin,0.122
Georgia,Jackson,0.082
Georgia,Jasper,0.099
Georgia,Jeff Davis,0.11
Georgia,Jefferson,0.118
Georgia,Jenkins,0.125
Georgia,Johnson,0.111
Georgia,Jones,0.086
Georgia,Lamar,0.133
Georgia,Lanier,0.093
Georgia,Laurens,0.13
Georgia,Lee,0.064
Georgia,Liberty,0.049
Georgia,Lincoln,0.135
Georgia,Long,0.047
Georgia,Lowndes,0.08
Georgia,Lumpkin,0.108
Georgia,Macon,0.132
Georgia,Madison,0.109
Georgia,Marion,0.152
Georgia,McDuffie,0.1
Georgia,McIntosh,0.152
Georgia,Meriwether,0.103
Georgia,Miller,0.131
Georgia,Mitchell,0.133
Georgia,Monroe,0.083
Georgia,Montgomery,0.104
Georgia,Morgan,0.114
Georgia,Murray,0.083
Georgia,Muscogee,0.099
Georgia,Newton,0.078
Georgia,Oconee,0.068
Georgia,Oglethorpe,0.1
Georgia,Paulding,0.047
Georgia,Peach,0.093
Georgia,Pickens,0.089
Georgia,Pierce,0.094
Georgia,Pike,0.076
Georgia,Polk,0.092
Georgia,Pulaski,0.115
Georgia,Putnam,0.077
Georgia,Quitman,0.153
Georgia,Rabun,0.121
Georgia,Randolph,0.106
Georgia,Richmond,0.094
Georgia,Rockdale,0.07
Georgia,Schley,0.122
Georgia,Screven,0.133
Georgia,Seminole,0.123
Georgia,Spalding,0.103
Georgia,Stephens,0.116
Georgia,Stewart,0.175
Georgia,Sumter,0.122
Georgia,Talbot,0.098
Georgia,Taliaferro,0.214
Georgia,Tattnall,0.095
Georgia,Taylor,0.115
Georgia,Telfair,0.145
Georgia,Terrell,0.114
Georgia,Thomas,0.107
Georgia,Tift,0.101
Georgia,Toombs,0.143
Georgia,Towns,0.179
Georgia,Treutlen,0.146
Georgia,Troup,0.095
Georgia,Turner,0.104
Georgia,Twiggs,0.096
Georgia,Union,0.152
Georgia,Upson,0.097
Georgia,Walker,0.103
Georgia,Walton,0.069
Georgia,Ware,0.132
Georgia,Warren,0.188
Georgia,Washington,0.112
Georgia,Wayne,0.11
Georgia,Webster,0.136
Georgia,Wheeler,0.118
Georgia,White,0.102
Georgia,Whitfield,0.087
Georgia,Wilcox,0.153
Georgia,Wilkes,0.15
Georgia,Wilkinson,0.117
Georgia,Worth,0.111
Hawaii,Hawaii,0.097
Hawaii,Honolulu,0.085
Hawaii,Kalawao,0.217
Hawaii,Kauai,0.085
Hawaii,Maui,0.078
Idaho,Ada,0.081
Idaho,Adams,0.121
Idaho,Bannock,0.082
Idaho,Bear Lake,0.144
Idaho,Benewah,0.134
Idaho,Bingham,0.089
Idaho,Blaine,0.088
Idaho,Boise,0.172
Idaho,Bonner,0.111
Idaho,Bonneville,0.081
Idaho,Boundary,0.135
Idaho,Butte,0.152
Idaho,Camas,0.077
Idaho,Canyon,0.084
Idaho,Caribou,0.127
Idaho,Cassia,0.112
Idaho,Clark,0.099
Idaho,Clearwater,0.14
Idaho,Custer,0.106
Idaho,Elmore,0.101
Idaho,Franklin,0.111
Idaho,Fremont,0.109
Idaho,Gem,0.105
Idaho,Gooding,0.113
Idaho,Idaho,0.159
Idaho,Jefferson,0.072
Idaho,Jerome,0.087
Idaho,Kootenai,0.091
Idaho,Latah,0.069
Idaho,Lemhi,0.118
Idaho,Lewis,0.178
Idaho,Lincoln,0.101
Idaho,Madison,0.04
Idaho,Minidoka,0.115
Idaho,Nez Perce,0.136
Idaho,Oneida,0.131
Idaho,Owyhee,0.103
Idaho,Payette,0.11
Idaho,Power,0.097
Idaho,Shoshone,0.133
Idaho,Teton,0.056
Idaho,Twin Falls,0.098
Idaho,Valley,0.135
Idaho,Washington,0.185
Illinois,Adams,0.124
Illinois,Alexander,0.142
Illinois,Bond,0.14
Illinois,Boone,0.082
Illinois,Brown,0.128
Illinois,Bureau,0.127
Illinois,Calhoun,0.133
Illinois,Carroll,0.134
Illinois,Cass,0.124
Illinois,Champaign,0.078
Illinois,Christian,0.14
Illinois,Clark,0.126
Illinois,Clay,0.127
Illinois,Clinton,0.129
Illinois,Coles,0.107
Illinois,Cook,0.101
Illinois,Crawford,0.144
Illinois,Cumberland,0.128
Illinois,De Witt,0.113
Illinois,DeKalb,0.087
Illinois,Douglas,0.121
Illinois,DuPage,0.086
Illinois,Edgar,0.133
Illinois,Edwards,0.133
Illinois,Effingham,0.143
Illinois,Fayette,0.117
Illinois,Ford,0.146
Illinois,Franklin,0.16
Illinois,Fulton,0.126
Illinois,Gallatin,0.138
Illinois,Greene,0.123
Illinois,Grundy,0.091
Illinois,Hamilton,0.181
Illinois,Hancock,0.115
Illinois,Hardin,0.177
Illinois,Henderson,0.148
Illinois,Henry,0.128
Illinois,Iroquois,0.149
Illinois,Jackson,0.092
Illinois,Jasper,0.101
Illinois,Jefferson,0.13
Illinois,Jersey,0.109
Illinois,Jo Daviess,0.129
Illinois,Johnson,0.149
Illinois,Kane,0.082
Illinois,Kankakee,0.101
Illinois,Kendall,0.055
Illinois,Knox,0.155
Illinois,La Salle,0.124
Illinois,Lake,0.083
Illinois,Lawrence,0.199
Illinois,Lee,0.119
Illinois,Livingston,0.13
Illinois,Logan,0.126
Illinois,Macon,0.125
Illinois,Macoupin,0.13
Illinois,Madison,0.107
Illinois,Marion,0.132
Illinois,Marshall,0.148
Illinois,Mason,0.148
Illinois,Massac,0.146
Illinois,McDonough,0.112
Illinois,McHenry,0.074
Illinois,McLean,0.079
Illinois,Menard,0.133
Illinois,Mercer,0.106
Illinois,Monroe,0.09
Illinois,Montgomery,0.144
Illinois,Morgan,0.122
Illinois,Moultrie,0.113
Illinois,Ogle,0.13
Illinois,Peoria,0.108
Illinois,Perry,0.142
Illinois,Piatt,0.119
Illinois,Pike,0.14
Illinois,Pope,0.141
Illinois,Pulaski,0.201
Illinois,Putnam,0.126
Illinois,Randolph,0.144
Illinois,Richland,0.142
Illinois,Rock Island,0.138
Illinois,Saline,0.129
Illinois,Sangamon,0.113
Illinois,Schuyler,0.114
Illinois,Scott,0.122
Illinois,Shelby,0.133
Illinois,St. Clair,0.108
Illinois,Stark,0.134
Illinois,Stephenson,0.133
Illinois,Tazewell,0.109
Illinois,Union,0.131
Illinois,Vermilion,0.137
Illinois,Wabash,0.13
Illinois,Warren,0.132
Illinois,Washington,0.128
Illinois,Wayne,0.149
Illinois,White,0.139
Illinois,Whiteside,0.125
Illinois,Will,0.074
Illinois,Williamson,0.119
Illinois,Winnebago,0.109
Illinois,Woodford,0.095
Indiana,Adams,0.122
Indiana,Allen,0.098
Indiana,Bartholomew,0.11
Indiana,Benton,0.135
