year,county,state,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,apc_percent_diff
2014,Ellis,KANSAS,15,4,8,45127.0,,0.165914744,,0.04770017,54.0,0.395,0.003,0.41,2.0,7.9,1.75,0.39,1.29,0.158285714
2013,Shoshone,IDAHO,12,4,10,38440.0,,0.173605978,,0.115653776,216.0,0.0,0.779,0.09,2.0,6.6,1.15,0.16,0.83,0.430313589
2014,Summers,WEST VIRGINIA,19,5,14,35040.0,,0.171013802,,0.079689018,175.0,0.006,0.807,0.03,2.0,8.5,1.71,0.3,1.14,0.209836066
2012,Marion,KENTUCKY,16,5,11,37710.0,,0.185271353,,0.076207966,144.0,0.104,0.465,0.07,2.0,9.9,2.14,0.33,1.47,-0.106840023
2012,Frontier,NEBRASKA,11,3,6,51328.0,,0.112337403,,0.037826683,69.0,0.332,0.003,0.14,2.0,7.2,1.33,0.16,0.89,0.209230769
2014,Adair,KENTUCKY,18,4,11,34490.0,,0.198103681,,0.105629578,138.0,0.048,0.551,0.0,2.0,9.7,2.17,0.31,1.51,-0.19895288
2012,Harney,OREGON,8,6,7,39674.0,,0.191129595,,0.094822735,95.0,0.005,0.073,0.0,2.0,5.9,0.96,0.13,0.67,-0.579843378
2014,Northumberland,PENNSYLVANIA,14,6,12,41560.0,0.165152758,0.141570881,0.058101185,0.082984768,152.0,0.183,0.459,0.16,2.0,10.7,1.67,0.89,1.29,-0.081395349
2013,Plymouth,IOWA,9,3,4,58888.0,,0.063960589,,0.03388733,96.0,0.753,0.024,0.48,1.0,9.7,1.28,0.29,0.92,0.092619392
2012,Columbia,GEORGIA,10,4,6,67295.0,0.12037652,0.080379546,0.084499747,0.067249812,123.0,0.007,0.556,0.14,1.0,10.9,3.34,0.52,2.5,0.067476383
2012,Belmont,OHIO,15,5,12,41676.0,0.149883434,0.146100998,0.088027447,0.081539959,146.0,0.06,0.592,0.2,1.0,11.2,1.74,0.62,1.2,0.078611536
