state,county,value
Colorado,Fremont,5.5
Colorado,Garfield,5.4
Colorado,Gilpin,5
Colorado,Grand,4.9
Colorado,Gunnison,4.6
Colorado,Hinsdale,4.2
Colorado,Huerfano,4.9
Colorado,Jackson,4.8
Colorado,Jefferson,8.2
Colorado,Kiowa,6.3
Colorado,Kit Carson,6.7
Colorado,La Plata,5.4
Colorado,Lake,4.3
Colorado,Larimer,7.8
Colorado,Las Animas,5.3
Colorado,Lincoln,6
Colorado,Logan,7
Colorado,Mesa,6
Colorado,Mineral,4.4
Colorado,Moffat,5.6
Colorado,Montezuma,5.2
Colorado,Montrose,5
Colorado,Morgan,7.4
Colorado,Otero,6.1
Colorado,Ouray,4.4
Colorado,Park,4.8
Colorado,Phillips,7.1
Colorado,Pitkin,4.6
Colorado,Prowers,6.6
Colorado,Pueblo,6.5
Colorado,Rio Blanco,5.3
Colorado,Rio Grande,4.8
Colorado,Routt,5.3
Colorado,Saguache,4.5
Colorado,San Juan,4.2
Colorado,San Miguel,4.7
Colorado,Sedgwick,6.9
Colorado,Summit,4.7
Colorado,Teller,5.5
Colorado,Washington,6.7
Colorado,Weld,9.2
Colorado,Yuma,6.9
Connecticut,Fairfield,9.5
Connecticut,Hartford,7.7
Connecticut,Litchfield,7.3
Connecticut,Middlesex,8.5
Connecticut,New Haven,8.6
Connecticut,New London,7.8
Connecticut,Tolland,8.4
Connecticut,Windham,8
Delaware,Kent,9
Delaware,New Castle,10.4
Delaware,Sussex,8.8
District of Columbia,District of Columbia,10.9
Florida,Alachua,7.5
Florida,Baker,7.6
Florida,Bay,8.1
Florida,Bradford,7.3
Florida,Brevard,6.5
Florida,Broward,7.4
Florida,Calhoun,8.2
Florida,Charlotte,6.7
Florida,Citrus,7.1
Florida,Clay,7.9
Florida,Collier,6.8
Florida,Columbia,7.8
Florida,DeSoto,6.5
Florida,Dixie,7
Florida,Duval,8.5
Florida,Escambia,8.9
Florida,Flagler,6.5
Florida,Franklin,7.1
Florida,Gadsden,9.2
Florida,Gilchrist,7.4
Florida,Glades,6.3
Florida,Gulf,7.2
Florida,Hamilton,8
Florida,Hardee,6.7
Florida,Hendry,6.9
Florida,Hernando,7.1
Florida,Highlands,6.5
Florida,Hillsborough,7
Florida,Holmes,8.8
Florida,Indian River,6.1
Florida,Jackson,9.1
Florida,Jefferson,8.6
Florida,Lafayette,7.5
Florida,Lake,7.4
Florida,Lee,6.9
Florida,Leon,9.1
Florida,Levy,7.4
Florida,Liberty,7.6
Florida,Madison,8.2
Florida,Manatee,7.3
Florida,Marion,7.7
Florida,Martin,6.5
Florida,Miami-Dade,7.9
Florida,Monroe,6.5
Florida,Nassau,8
Florida,Okaloosa,8.6
Florida,Okeechobee,6.2
Florida,Orange,6.5
Florida,Osceola,7.3
Florida,Palm Beach,6
Florida,Pasco,7.4
Florida,Pinellas,6.9
Florida,Polk,7.5
Florida,Putnam,7.2
Florida,Santa Rosa,9
Florida,Sarasota,7
Florida,Seminole,7.3
Florida,St. Johns,7.6
Florida,St. Lucie,6.3
Florida,Sumter,7.4
Florida,Suwannee,7.9
Florida,Taylor,7.6
Florida,Union,7.4
Florida,Volusia,6.8
Florida,Wakulla,7.9
Florida,Walton,8.6
Florida,Washington,8.6
Georgia,Appling,9.2
Georgia,Atkinson,9.3
Georgia,Bacon,9.1
Georgia,Baker,9.8
Georgia,Baldwin,10.6
Georgia,Banks,10.1
Georgia,Barrow,10.5
Georgia,Bartow,10.7
Georgia,Ben Hill,9.7
Georgia,Berrien,9.7
Georgia,Bibb,11.3
Georgia,Bleckley,10.1
Georgia,Brantley,7.9
Georgia,Brooks,9.6
Georgia,Bryan,9
Georgia,Bulloch,9.6
Georgia,Burke,10.4
Georgia,Butts,10.5
Georgia,Calhoun,9.7
Georgia,Camden,7.7
Georgia,Candler,9.6
Georgia,Carroll,10.2
Georgia,Catoosa,10.7
Georgia,Charlton,7.6
Georgia,Chatham,9.3
Georgia,Chattahoochee,10.6
Georgia,Chattooga,10.5
Georgia,Cherokee,10.5
Georgia,Clarke,10.2
Georgia,Clay,9.4
Georgia,Clayton,10.7
Georgia,Clinch,8.2
Georgia,Cobb,10.2
Georgia,Coffee,9.6
Georgia,Colquitt,10.2
Georgia,Columbia,10.9
Georgia,Cook,9.7
Georgia,Coweta,10.4
Georgia,Crawford,10.6
Georgia,Crisp,10.3
Georgia,Dade,10.1
Georgia,Dawson,9.5
Georgia,Decatur,9.8
Georgia,DeKalb,10.6
Georgia,Dodge,10
Georgia,Dooly,10.4
Georgia,Dougherty,10.4
Georgia,Douglas,10.5
Georgia,Early,9.7
Georgia,Echols,8.1
Georgia,Effingham,9.3
Georgia,Elbert,10.1
Georgia,Emanuel,9.8
Georgia,Evans,9.2
Georgia,Fannin,9
Georgia,Fayette,10.5
Georgia,Floyd,10.6
Georgia,Forsyth,10.4
Georgia,Franklin,10.2
Georgia,Fulton,10.8
Georgia,Gilmer,9.4
Georgia,Glascock,9.9
Georgia,Glynn,7.7
Georgia,Gordon,10.6
Georgia,Grady,10.2
Georgia,Greene,10.3
Georgia,Gwinnett,10.8
Georgia,Habersham,9.4
Georgia,Hall,10
Georgia,Hancock,10.1
Georgia,Haralson,9.9
Georgia,Harris,10.5
Georgia,Hart,10.3
Georgia,Heard,9.9
Georgia,Henry,10.8
Georgia,Houston,10.5
Georgia,Irwin,9.8
Georgia,Jackson,10.5
Georgia,Jasper,10.6
Georgia,Jeff Davis,9.4
Georgia,Jefferson,10.2
Georgia,Jenkins,9.7
Georgia,Johnson,9.9
Georgia,Jones,11
Georgia,Lamar,10.5
Georgia,Lanier,8.8
Georgia,Laurens,10.3
Georgia,Lee,10.4
Georgia,Liberty,8.8
Georgia,Lincoln,9.9
Georgia,Long,8.8
Georgia,Lowndes,9.1
Georgia,Lumpkin,9.2
Georgia,Macon,10.6
Georgia,Madison,10.3
Georgia,Marion,10.1
Georgia,McDuffie,10.3
Georgia,McIntosh,7.9
Georgia,Meriwether,10.2
Georgia,Miller,9.6
Georgia,Mitchell,10.2
Georgia,Monroe,10.8
Georgia,Montgomery,9.5
Georgia,Morgan,10.5
Georgia,Murray,10.1
Georgia,Muscogee,11.1
Georgia,Newton,10.7
Georgia,Oconee,10.4
Georgia,Oglethorpe,10.1
Georgia,Paulding,9.9
Georgia,Peach,10.8
Georgia,Pickens,9.7
Georgia,Pierce,8.6
Georgia,Pike,10.3
Georgia,Polk,10.2
Georgia,Pulaski,10.1
Georgia,Putnam,10.6
Georgia,Quitman,9.7
Georgia,Rabun,8.5
Georgia,Randolph,9.8
Georgia,Richmond,11.2
Georgia,Rockdale,10.7
Georgia,Schley,10.2
Georgia,Screven,9.6
Georgia,Seminole,9.3
Georgia,Spalding,10.5
Georgia,Stephens,9.5
Georgia,Stewart,10
Georgia,Sumter,10.5
Georgia,Talbot,10.2
Georgia,Taliaferro,9.7
Georgia,Tattnall,9.4
Georgia,Taylor,10.4
Georgia,Telfair,9.5
Georgia,Terrell,10.2
Georgia,Thomas,10.5
Georgia,Tift,10.1
Georgia,Toombs,9.5
Georgia,Towns,8.4
Georgia,Treutlen,9.6
Georgia,Troup,10.3
Georgia,Turner,10
Georgia,Twiggs,10.5
Georgia,Union,8.7
Georgia,Upson,10.4
Georgia,Walker,10.7
Georgia,Walton,10.6
Georgia,Ware,8.8
Georgia,Warren,10
Georgia,Washington,10.1
Georgia,Wayne,8.7
Georgia,Webster,10
Georgia,Wheeler,9.4
Georgia,White,9.1
Georgia,Whitfield,10.6
Georgia,Wilcox,9.9
Georgia,Wilkes,9.9
Georgia,Wilkinson,10.8
Georgia,Worth,10.4
Idaho,Ada,9.7
Idaho,Adams,6.2
Idaho,Bannock,7.3
Idaho,Bear Lake,6.4
Idaho,Benewah,6.8
Idaho,Bingham,7.8
Idaho,Blaine,6.5
Idaho,Boise,6.1
Idaho,Bonner,6.5
Idaho,Bonneville,8
Idaho,Boundary,5.1
Idaho,Butte,6.1
Idaho,Camas,5.9
Idaho,Canyon,10.1
Idaho,Caribou,6.7
Idaho,Cassia,6.9
Idaho,Clark,6.2
Idaho,Clearwater,7.7
Idaho,Custer,5.9
Idaho,Elmore,7.8
Idaho,Franklin,6.8
Idaho,Fremont,7
Idaho,Gem,9
Idaho,Gooding,7.5
Idaho,Idaho,8.8
Idaho,Jefferson,7.9
Idaho,Jerome,7.6
Idaho,Kootenai,7.7
Idaho,Latah,7.3
Idaho,Lemhi,8.3
Idaho,Lewis,7.2
Idaho,Lincoln,6.7
Idaho,Madison,7.6
Idaho,Minidoka,7.3
Idaho,Nez Perce,7.6
Idaho,Oneida,6.5
Idaho,Owyhee,7.5
Idaho,Payette,8.8
Idaho,Power,6.8
Idaho,Shoshone,6.6
Idaho,Teton,6.2
Idaho,Twin Falls,7.4
Idaho,Valley,6.3
Idaho,Washington,7.2
Illinois,Adams,10.1
Illinois,Alexander,10.4
Illinois,Bond,10.4
Illinois,Boone,10.6
Illinois,Brown,9.8
Illinois,Bureau,10.7
Illinois,Calhoun,10.6
Illinois,Carroll,10.4
Illinois,Cass,10.2
Illinois,Champaign,10.6
Illinois,Christian,10.5
Illinois,Clark,10.5
Illinois,Clay,10.3
Illinois,Clinton,10.7
Illinois,Coles,10.4
Illinois,Cook,14
Illinois,Crawford,10.7
Illinois,Cumberland,10.4
Illinois,De Witt,10.4
Illinois,DeKalb,11.1
Illinois,Douglas,10.5
Illinois,DuPage,12.2
Illinois,Edgar,10.5
Illinois,Edwards,10.4
Illinois,Effingham,10.4
Illinois,Fayette,10.3
Illinois,Ford,10.6
Illinois,Franklin,10.3
Illinois,Fulton,10.5
Illinois,Gallatin,10.1
Illinois,Greene,10.2
Illinois,Grundy,11.1
Illinois,Hamilton,10
Illinois,Hancock,10.4
Illinois,Hardin,9.8
Illinois,Henderson,10.4
Illinois,Henry,10.9
Illinois,Iroquois,10.9
Illinois,Jackson,10.3
Illinois,Jasper,10.4
Illinois,Jefferson,10.4
Illinois,Jersey,10.7
Illinois,Jo Daviess,10.2
Illinois,Johnson,10
Illinois,Kane,11.7
Illinois,Kankakee,11.2
Illinois,Kendall,11.5
Illinois,Knox,10.6
Illinois,La Salle,11.1
Illinois,Lake,11.7
Illinois,Lawrence,10.7
Illinois,Lee,10.7
Illinois,Livingston,10.7
Illinois,Logan,10.5
Illinois,Macon,10.6
Illinois,Macoupin,10.7
Illinois,Madison,13.2
Illinois,Marion,10.4
Illinois,Marshall,10.6
Illinois,Mason,10.5
Illinois,Massac,10.1
Illinois,McDonough,10.3
Illinois,McHenry,11
Illinois,McLean,10.5
Illinois,Menard,10.3
Illinois,Mercer,10.6
Illinois,Monroe,11.3
Illinois,Montgomery,10.4
Illinois,Morgan,10.3
Illinois,Moultrie,10.3
Illinois,Ogle,10.7
Illinois,Peoria,10.8
Illinois,Perry,10.3
Illinois,Piatt,10.5
Illinois,Pike,10.2
Illinois,Pope,9.9
Illinois,Pulaski,10.1
Illinois,Putnam,10.4
Illinois,Randolph,10.3
Illinois,Richland,10.4
Illinois,Rock Island,10.9
Illinois,Saline,10.1
Illinois,Sangamon,10.5
Illinois,Schuyler,10
Illinois,Scott,10
Illinois,Shelby,10.4
Illinois,St. Clair,11.8
Illinois,Stark,10.4
Illinois,Stephenson,10.3
Illinois,Tazewell,11
Illinois,Union,10.2
Illinois,Vermilion,10.8
Illinois,Wabash,10.7
Illinois,Warren,10.4
Illinois,Washington,10.4
Illinois,Wayne,10.3
Illinois,White,10.4
Illinois,Whiteside,10.8
Illinois,Will,12.3
Illinois,Williamson,10.3
Illinois,Winnebago,10.5
Illinois,Woodford,10.8
Indiana,Adams,11.4
Indiana,Allen,11.3
Indiana,Bartholomew,11.2
Indiana,Benton,10.8
Indiana,Blackford,11
Indiana,Boone,11.5
Indiana,Brown,10.8
Indiana,Carroll,11.4
Indiana,Cass,11.4
Indiana,Clark,11.8
Indiana,Clay,10.7
Indiana,Clinton,11.3
Indiana,Crawford,10.3
Indiana,Daviess,11
Indiana,Dearborn,11.4
Indiana,Decatur,11.1
Indiana,DeKalb,11
Indiana,Delaware,11
Indiana,Dubois,11
Indiana,Elkhart,11.2
Indiana,Fayette,11
Indiana,Floyd,11
Indiana,Fountain,10.7
Indiana,Franklin,11.1
Indiana,Fulton,11.1
Indiana,Gibson,11.1
Indiana,Grant,11.2
Indiana,Greene,10.6
Indiana,Hamilton,11.8
Indiana,Hancock,11.6
Indiana,Harrison,10.6
Indiana,Hendricks,11.5
Indiana,Henry,10.7
Indiana,Howard,11.3
Indiana,Huntington,11.2
Indiana,Jackson,10.9
Indiana,Jasper,11.4
Indiana,Jay,11.2
Indiana,Jefferson,10.7
Indiana,Jennings,10.9
Indiana,Johnson,11.6
Indiana,Knox,11
Indiana,Kosciusko,11.3
Indiana,LaGrange,11.1
Indiana,Lake,13.1
Indiana,LaPorte,11.1
Indiana,Lawrence,10.6
Indiana,Madison,11.1
Indiana,Marion,12.3
Indiana,Marshall,11.2
Indiana,Martin,10.7
Indiana,Miami,11.3
Indiana,Monroe,10.4
Indiana,Montgomery,10.9
Indiana,Morgan,11.3
Indiana,Newton,11.1
Indiana,Noble,11.1
Indiana,Ohio,10.9
Indiana,Orange,10.5
Indiana,Owen,10.6
Indiana,Parke,10.6
Indiana,Perry,10.7
Indiana,Pike,11
Indiana,Porter,11.4
Indiana,Posey,11
Indiana,Pulaski,11.1
Indiana,Putnam,10.8
Indiana,Randolph,11.2
Indiana,Ripley,11
Indiana,Rush,11.1
Indiana,Scott,10.7
